Fri Sep  6 10:54:39 2024    output.prof

         9370 function calls (9362 primitive calls) in 0.009 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       10    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:198(cb)
        5    0.000    0.000    0.000    0.000 C:\Users\yonat\PycharmProjects\tzefa\Tzefa-Language\createdpython.py:57(push)
        4    0.000    0.000    0.000    0.000 C:\Users\yonat\PycharmProjects\tzefa\Tzefa-Language\createdpython.py:255(copyvar)
       10    0.000    0.000    0.000    0.000 C:\Users\yonat\PycharmProjects\tzefa\Tzefa-Language\createdpython.py:219(read)
       14    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:71(__init__)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:392(cached)
        5    0.000    0.000    0.000    0.000 C:\Users\yonat\PycharmProjects\tzefa\Tzefa-Language\createdpython.py:243(tostring)
        1    0.000    0.000    0.000    0.000 C:\Users\yonat\PycharmProjects\tzefa\Tzefa-Language\topy.py:133(COMPARE)
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1030(__exit__)
        2    0.000    0.000    0.000    0.000 C:\Users\yonat\PycharmProjects\tzefa\Tzefa-Language\topy.py:337(ASSSIGNINT)
        4    0.000    0.000    0.000    0.000 C:\Users\yonat\PycharmProjects\tzefa\Tzefa-Language\createdpython.py:473(<listcomp>)
        1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap_external>:999(source_to_code)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
        1    0.000    0.000    0.000    0.000 C:\Users\yonat\PycharmProjects\tzefa\Tzefa-Language\ErrorCorrection.py:18(tosimple)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:920(find_spec)
        2    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1146(path_stats)
        1    0.000    0.000    0.000    0.000 C:\Users\yonat\PycharmProjects\tzefa\Tzefa-Language\topy.py:102(RIGHTSIDE)
        1    0.000    0.000    0.000    0.000 C:\Users\yonat\PycharmProjects\tzefa\Tzefa-Language\createdpython.py:352(EERROR)
        2    0.000    0.000    0.000    0.000 C:\Users\yonat\PycharmProjects\tzefa\Tzefa-Language\createdpython.py:629(<listcomp>)
        1    0.000    0.000    0.000    0.000 C:\Users\yonat\PycharmProjects\tzefa\Tzefa-Language\createdpython.py:560(tostring)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:599(_check_name_wrapper)
        1    0.000    0.000    0.000    0.000 C:\Users\yonat\PycharmProjects\tzefa\Tzefa-Language\topy.py:27(getinstructions)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
        2    0.000    0.000    0.000    0.000 C:\Users\yonat\PycharmProjects\tzefa\Tzefa-Language\topy.py:240(GETINTEGER)
        1    0.000    0.000    0.000    0.000 C:\Users\yonat\PycharmProjects\tzefa\Tzefa-Language\topy.py:70(NEWLIST)
       28    0.000    0.000    0.000    0.000 <frozen codecs>:276(reset)
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1026(__enter__)
        1    0.000    0.000    0.000    0.000 C:\Users\yonat\PycharmProjects\tzefa\Tzefa-Language\createdpython.py:171(switchtonewcall)
